count,merge,radix,U,n
1.1920928955078125e-05,7.891654968261719e-05,0.00010395050048828125,2,16
1.2874603271484375e-05,6.818771362304688e-05,9.512901306152344e-05,4,16
1.3828277587890625e-05,6.604194641113281e-05,0.00011301040649414062,8,16
2.09808349609375e-05,0.000202178955078125,8.988380432128906e-05,16,16
